time,w1,w2,wb,acc
543,4.988759,-4.328298,1.354648,0.963000
544,4.988759,-4.328298,1.354648,0.963000
545,4.988759,-4.328298,1.354648,0.963000
546,4.988759,-4.328298,1.354648,0.963000
547,4.988759,-4.328298,1.354648,0.963000
548,4.988759,-4.328298,1.354648,0.963000
549,4.988759,-4.328298,1.354648,0.963000
550,4.988759,-4.328298,1.354648,0.963000
551,4.988759,-4.328298,1.354648,0.963000
552,4.988759,-4.328298,1.354648,0.963000
553,4.988759,-4.328298,1.354648,0.963000
554,4.988759,-4.328298,1.354648,0.963000
555,4.988759,-4.328298,1.354648,0.963000
556,4.988759,-4.328298,1.354648,0.963000
557,4.988759,-4.328298,1.354648,0.963000
558,4.988759,-4.328298,1.354648,0.963000
559,4.988759,-4.328298,1.354648,0.963000
560,4.988759,-4.328298,1.354648,0.963000
561,4.988759,-4.328298,1.354648,0.963000
562,4.988759,-4.328298,1.354648,0.963000
563,4.988759,-4.328298,1.354648,0.963000
564,4.988759,-4.328298,1.354648,0.963000
565,4.988759,-4.328298,1.354648,0.963000
566,4.988759,-4.328298,1.354648,0.963000
567,4.988759,-4.328298,1.354648,0.963000
568,4.988759,-4.328298,1.354648,0.963000
569,4.988759,-4.328298,1.354648,0.963000
570,4.988759,-4.328298,1.354648,0.963000
571,4.988759,-4.328298,1.354648,0.963000
572,4.988759,-4.328298,1.354648,0.963000
573,4.988759,-4.328298,1.354648,0.963000
574,4.988759,-4.328298,1.354648,0.963000
575,4.988759,-4.328298,1.354648,0.963000
576,4.988759,-4.328298,1.354648,0.963000
577,4.988759,-4.328298,1.354648,0.963000
578,4.988759,-4.328298,1.354648,0.963000
579,4.988759,-4.328298,1.354648,0.963000
580,4.988759,-4.328298,1.354648,0.963000
581,4.988759,-4.328298,1.354648,0.963000
582,4.988759,-4.328298,1.354648,0.963000
583,4.988759,-4.328298,1.354648,0.963000
584,4.988759,-4.328298,1.354648,0.963000
585,4.988759,-4.328298,1.354648,0.963000
586,4.988759,-4.328298,1.354648,0.963000
587,4.988759,-4.328298,1.354648,0.963000
588,4.988759,-4.328298,1.354648,0.963000
589,4.988759,-4.328298,1.354648,0.963000
590,4.988759,-4.328298,1.354648,0.963000
591,4.988759,-4.328298,1.354648,0.963000
592,4.988759,-4.328298,1.354648,0.963000
593,4.988759,-4.328298,1.354648,0.963000
594,4.988759,-4.328298,1.354648,0.963000
595,4.988759,-4.328298,1.354648,0.963000
596,4.988759,-4.328298,1.354648,0.963000
597,4.988759,-4.328298,1.354648,0.963000
598,4.988759,-4.328298,1.354648,0.963000
599,4.988759,-4.328298,1.354648,0.963000
600,4.988759,-4.328298,1.354648,0.963000
601,3.388759,-6.108298,1.374648,0.887000
602,3.388759,-6.108298,1.374648,0.887000
603,3.388759,-6.108298,1.374648,0.887000
